Param #2378: delta OK; RMS=0.00075231 mm
Param #2384: delta OK; RMS=0.00072479 mm
Param #2393: delta OK; RMS=0.00041094 mm
Param #2447: delta OK; RMS=0.00040843 mm
Param #2456: delta OK; RMS=0.00073978 mm
Param #2462: delta OK; RMS=0.00074492 mm
Param #2469: delta OK; RMS=0.00040596 mm
Param #2505: delta OK; RMS=0.00041267 mm
Param #2512: delta OK; RMS=0.00086097 mm
Param #2518: delta OK; RMS=0.00084319 mm
Param #2527: delta OK; RMS=0.0004128 mm
Param #2581: delta OK; RMS=0.00042493 mm
Param #2590: delta OK; RMS=0.00084311 mm
Param #2596: delta OK; RMS=0.00086055 mm
Param #2603: delta OK; RMS=0.00040734 mm
Param #2644: delta OK; RMS=0.00043018 mm
Param #2651: delta OK; RMS=0.00074789 mm
Param #2657: delta OK; RMS=0.00074261 mm
Param #2666: delta OK; RMS=0.00043405 mm
Param #2727: delta OK; RMS=0.00042578 mm
Param #2736: delta OK; RMS=0.00070928 mm
Param #2742: delta OK; RMS=0.00076562 mm
Param #2749: delta OK; RMS=0.00043437 mm
Param #2785: delta OK; RMS=0.00040475 mm
Param #2792: delta OK; RMS=0.00063148 mm
Param #2798: delta OK; RMS=0.00061699 mm
Param #2807: delta OK; RMS=0.00041506 mm
Param #2861: delta OK; RMS=0.00039697 mm
Param #2870: delta OK; RMS=0.00061471 mm
Param #2876: delta OK; RMS=0.00063126 mm
Param #2883: delta OK; RMS=0.00041175 mm
Param #2926: delta OK; RMS=0.00040102 mm
Param #2933: delta OK; RMS=0.00074127 mm
Param #2939: delta OK; RMS=0.00071369 mm
Param #2948: delta OK; RMS=0.000393 mm
Param #3009: delta OK; RMS=0.00040909 mm
Param #3018: delta OK; RMS=0.00071314 mm
Param #3024: delta OK; RMS=0.00074448 mm
Param #3031: delta OK; RMS=0.00039293 mm
Param #3067: delta OK; RMS=0.00043852 mm
Param #3074: delta OK; RMS=0.00086903 mm
Param #3080: delta OK; RMS=0.00084998 mm
Param #3089: delta OK; RMS=0.00043072 mm
Param #3145: delta OK; RMS=0.00044579 mm
Param #3154: delta OK; RMS=0.00084838 mm
Param #3160: delta OK; RMS=0.00086587 mm
Param #3167: delta OK; RMS=0.00043006 mm
Param #3203: delta OK; RMS=0.00041963 mm
Param #3210: delta OK; RMS=0.00075819 mm
Param #3216: delta OK; RMS=0.00075368 mm
Param #3225: delta OK; RMS=0.00044087 mm
Param #3281: delta OK; RMS=0.00041209 mm
Param #3290: delta OK; RMS=0.00073543 mm
Param #3296: delta OK; RMS=0.00076508 mm
Param #3303: delta OK; RMS=0.00043231 mm
Param #3339: delta OK; RMS=0.00038678 mm
Param #3346: delta OK; RMS=0.00062472 mm
Param #3352: delta OK; RMS=0.00061207 mm
