Param #7389: delta OK; RMS=0.0010613 mm
Param #275: delta OK; RMS=0.0020652 mm
Param #2429: delta OK; RMS=0.0020468 mm
Param #2974: delta OK; RMS=0.0020451 mm
Param #7267: delta OK; RMS=0.0020115 mm
Param #7391: delta OK; RMS=0.0020404 mm
Param #263: delta OK; RMS=0.001216 mm
Param #2441: delta OK; RMS=0.0012044 mm
Param #2962: delta OK; RMS=0.0011998 mm
Param #7255: delta OK; RMS=0.0012216 mm
Param #7403: delta OK; RMS=0.0012196 mm
Param #256: delta OK; RMS=0.00212 mm
Param #2449: delta OK; RMS=0.0021425 mm
Param #2955: delta OK; RMS=0.0021415 mm
Param #7250: delta OK; RMS=0.0021766 mm
Param #7409: delta OK; RMS=0.0021467 mm
Param #244: delta OK; RMS=0.0010179 mm
Param #2460: delta OK; RMS=0.0010519 mm
Param #2943: delta OK; RMS=0.001022 mm
Param #7238: delta OK; RMS=0.0010234 mm
Param #7420: delta OK; RMS=0.0010406 mm
Param #29: delta OK; RMS=0.0017825 mm
Param #2673: delta OK; RMS=0.001791 mm
Param #2730: delta OK; RMS=0.0017985 mm
Param #6936: delta OK; RMS=0.0017624 mm
Param #7017: delta OK; RMS=0.0018253 mm
Param #7633: delta OK; RMS=0.0018011 mm
Param #41: delta OK; RMS=0.0013848 mm
Param #2661: delta OK; RMS=0.0013455 mm
Param #2742: delta OK; RMS=0.0014021 mm
Param #5471: delta OK; RMS=0.001426 mm
Param #6924: delta OK; RMS=0.0013505 mm
Param #7029: delta OK; RMS=0.0013705 mm
Param #7621: delta OK; RMS=0.0013406 mm
Param #49: delta OK; RMS=0.0024248 mm
Param #2656: delta OK; RMS=0.0024193 mm
Param #2748: delta OK; RMS=0.0024178 mm
Param #5464: delta OK; RMS=0.0024045 mm
Param #6915: delta OK; RMS=0.002458 mm
Param #7037: delta OK; RMS=0.0023906 mm
Param #7616: delta OK; RMS=0.0023906 mm
Param #60: delta OK; RMS=0.00098957 mm
Param #2644: delta OK; RMS=0.0010178 mm
Param #2759: delta OK; RMS=0.00099499 mm
Param #5452: delta OK; RMS=0.0010142 mm
Param #6903: delta OK; RMS=0.0010073 mm
Param #7050: delta OK; RMS=0.00099695 mm
Param #7604: delta OK; RMS=0.0010068 mm
Param #68: delta OK; RMS=0.0019124 mm
Param #2637: delta OK; RMS=0.0019323 mm
Param #2767: delta OK; RMS=0.0019324 mm
Param #5445: delta OK; RMS=0.0020014 mm
Param #6896: delta OK; RMS=0.001915 mm
Param #7062: delta OK; RMS=0.0019639 mm
Param #7597: delta OK; RMS=0.0019352 mm
Param #11: delta OK; RMS=0.0013152 mm
Param #2687: delta OK; RMS=0.0013533 mm
Param #2716: delta OK; RMS=0.001311 mm
Param #6952: delta OK; RMS=0.0013417 mm
Param #6991: delta OK; RMS=0.001312 mm
Param #7655: delta OK; RMS=0.0013384 mm
Param #17: delta OK; RMS=0.0022969 mm
Param #2685: delta OK; RMS=0.0023092 mm
Param #2718: delta OK; RMS=0.0023057 mm
Param #6948: delta OK; RMS=0.0023279 mm
Param #7001: delta OK; RMS=0.0023058 mm
Param #7649: delta OK; RMS=0.0022897 mm
Param #27: delta OK; RMS=0.0010193 mm
Param #2675: delta OK; RMS=0.0010143 mm
Param #2728: delta OK; RMS=0.0010185 mm
Param #5485: delta OK; RMS=0.0010276 mm
Param #6938: delta OK; RMS=0.0010221 mm
Param #7011: delta OK; RMS=0.0010318 mm
Param #7639: delta OK; RMS=0.0010204 mm
Param #2421: delta OK; RMS=0.0010689 mm
Param #1553: delta OK; RMS=0.0010309 mm
Param #510: delta OK; RMS=0.0015093 mm
Param #926: delta OK; RMS=0.0020802 mm
Param #1344: delta OK; RMS=0.0020922 mm
Param #1762: delta OK; RMS=0.0020333 mm
Param #2180: delta OK; RMS=0.0020199 mm
Param #2397: delta OK; RMS=0.0015044 mm
Param #717: delta OK; RMS=0.0008042 mm
Param #1135: delta OK; RMS=0.0013666 mm
Param #1971: delta OK; RMS=0.0012985 mm
Param #2389: delta OK; RMS=0.00083916 mm
Param #5114: delta OK; RMS=0.00069263 mm
Param #4246: delta OK; RMS=0.00096745 mm
Param #3203: delta OK; RMS=0.0014974 mm
Param #3619: delta OK; RMS=0.0020714 mm
Param #4037: delta OK; RMS=0.0021213 mm
Param #4455: delta OK; RMS=0.0018904 mm
Param #4873: delta OK; RMS=0.002057 mm
Param #5090: delta OK; RMS=0.0018986 mm
Param #3410: delta OK; RMS=0.00079602 mm
Param #3828: delta OK; RMS=0.0013857 mm
Param #4664: delta OK; RMS=0.0013804 mm
Param #5082: delta OK; RMS=0.00089399 mm
Param #6455: delta OK; RMS=0.00091182 mm
Param #6441: delta OK; RMS=0.0016342 mm
Param #6437: delta OK; RMS=0.0012592 mm
Param #6425: delta OK; RMS=0.0017578 mm
Param #6413: delta OK; RMS=0.0011618 mm
Param #7293: delta OK; RMS=0.0017257 mm
Param #7367: delta OK; RMS=0.0017579 mm
Param #7305: delta OK; RMS=0.0010675 mm
Param #7355: delta OK; RMS=0.0010535 mm
Param #7311: delta OK; RMS=0.0020658 mm
Param #7349: delta OK; RMS=0.0020467 mm
Param #7317: delta OK; RMS=0.0010912 mm
Param #7343: delta OK; RMS=0.0010834 mm
Param #7323: delta OK; RMS=0.0022293 mm
Param #7337: delta OK; RMS=0.0021979 mm
Param #7329: delta OK; RMS=0.0015217 mm
Param #6373: delta OK; RMS=0.0014352 mm
Param #6377: delta too big; RMS=0.004335 mm
Param #6377: delta OK; RMS=0.0010069 mm
Param #6383: delta OK; RMS=0.0012543 mm
Param #6391: delta OK; RMS=0.0017916 mm
Param #6401: delta OK; RMS=0.0012917 mm
Param #6407: delta OK; RMS=0.001854 mm
Param #5495: delta OK; RMS=0.0020849 mm
Param #5505: delta OK; RMS=0.0019576 mm
Param #5509: delta OK; RMS=0.0028626 mm
Param #5521: delta OK; RMS=0.0018528 mm
Param #5527: delta OK; RMS=0.0011991 mm
Param #5551: delta OK; RMS=0.0012607 mm
Param #5557: delta OK; RMS=0.002449 mm
Param #5563: delta too big; RMS=0.0056805 mm
Param #5563: delta OK; RMS=0.0010109 mm
Param #5571: delta OK; RMS=0.00060306 mm
Param #5583: delta OK; RMS=0.0025048 mm
Param #5589: delta OK; RMS=0.0022476 mm
Param #5593: delta OK; RMS=0.0020818 mm
Param #5599: delta OK; RMS=0.0022179 mm
Param #5613: delta OK; RMS=0.0019463 mm
Param #5621: delta OK; RMS=0.0015852 mm
Param #5627: delta OK; RMS=0.00115 mm
Param #5655: delta OK; RMS=0.0011325 mm
Param #5661: delta OK; RMS=0.0015279 mm
Param #5669: delta OK; RMS=0.0017225 mm
Param #5683: delta OK; RMS=0.0019749 mm
Param #5689: delta OK; RMS=0.0020301 mm
Param #5693: delta OK; RMS=0.0022023 mm
Param #5699: delta OK; RMS=0.0023033 mm
Param #5713: delta OK; RMS=0.0018862 mm
Param #5721: delta OK; RMS=0.0029842 mm
Param #5727: delta OK; RMS=0.00040184 mm
Param #5741: delta OK; RMS=0.00040526 mm
Param #5747: delta OK; RMS=0.0030258 mm
Param #5755: delta OK; RMS=0.0019722 mm
Param #5769: delta OK; RMS=0.0024066 mm
Param #5775: delta OK; RMS=0.0022066 mm
Param #5779: delta OK; RMS=0.002131 mm
Param #5785: delta OK; RMS=0.0021275 mm
Param #5799: delta OK; RMS=0.0026966 mm
Param #5807: delta too big; RMS=0.005501 mm
Param #5807: delta OK; RMS=0.0010107 mm
Param #5813: delta OK; RMS=0.00039908 mm
Param #5841: delta OK; RMS=0.00042704 mm
Param #5847: delta too big; RMS=0.0057959 mm
Param #5847: delta OK; RMS=0.0010107 mm
Param #5855: delta OK; RMS=0.0030247 mm
Param #5869: delta OK; RMS=0.0023779 mm
Param #5875: delta OK; RMS=0.0022774 mm
Param #5879: delta OK; RMS=0.0023667 mm
Param #5885: delta OK; RMS=0.0026053 mm
Param #5899: delta OK; RMS=0.0020413 mm
