Param #2378: delta OK; RMS=0.00069152 mm
Param #2384: delta OK; RMS=0.00065737 mm
Param #2393: delta OK; RMS=0.00039153 mm
Param #2447: delta OK; RMS=0.00042604 mm
Param #2456: delta OK; RMS=0.00068308 mm
Param #2462: delta OK; RMS=0.00068118 mm
Param #2469: delta OK; RMS=0.0003974 mm
Param #2505: delta OK; RMS=0.00049516 mm
Param #2512: delta OK; RMS=0.00075696 mm
Param #2518: delta OK; RMS=0.00074941 mm
Param #2527: delta OK; RMS=0.0004687 mm
Param #2581: delta OK; RMS=0.00049576 mm
Param #2590: delta OK; RMS=0.00073355 mm
Param #2596: delta OK; RMS=0.00076445 mm
Param #2603: delta OK; RMS=0.00048404 mm
Param #2644: delta OK; RMS=0.00046311 mm
Param #2651: delta OK; RMS=0.0004689 mm
Param #2657: delta OK; RMS=0.00046732 mm
Param #2666: delta OK; RMS=0.00048533 mm
Param #2727: delta OK; RMS=0.0004307 mm
Param #2736: delta OK; RMS=0.00043074 mm
Param #2742: delta OK; RMS=0.00048308 mm
Param #2749: delta OK; RMS=0.00048602 mm
Param #2785: delta OK; RMS=0.00039052 mm
Param #2792: delta OK; RMS=0.00039096 mm
Param #2798: delta OK; RMS=0.00036801 mm
Param #2807: delta OK; RMS=0.00039085 mm
Param #2861: delta OK; RMS=0.00038377 mm
Param #2870: delta OK; RMS=0.00037989 mm
Param #2876: delta OK; RMS=0.00038672 mm
Param #2883: delta OK; RMS=0.000393 mm
Param #2926: delta OK; RMS=0.00047012 mm
Param #2933: delta OK; RMS=0.00068983 mm
Param #2939: delta OK; RMS=0.00065174 mm
Param #2948: delta OK; RMS=0.00041951 mm
Param #3009: delta OK; RMS=0.00048105 mm
Param #3018: delta OK; RMS=0.00066567 mm
Param #3024: delta OK; RMS=0.00068759 mm
Param #3031: delta OK; RMS=0.00044268 mm
Param #3067: delta OK; RMS=0.00050166 mm
Param #3074: delta OK; RMS=0.00076771 mm
Param #3080: delta OK; RMS=0.00075876 mm
Param #3089: delta OK; RMS=0.00050872 mm
Param #3145: delta OK; RMS=0.00048153 mm
Param #3154: delta OK; RMS=0.00073972 mm
Param #3160: delta OK; RMS=0.00077081 mm
Param #3167: delta OK; RMS=0.00051051 mm
Param #3203: delta OK; RMS=0.00040132 mm
Param #3210: delta OK; RMS=0.00045971 mm
Param #3216: delta OK; RMS=0.00046655 mm
Param #3225: delta OK; RMS=0.00043345 mm
Param #3281: delta OK; RMS=0.00038091 mm
Param #3290: delta OK; RMS=0.00043493 mm
Param #3296: delta OK; RMS=0.00047238 mm
Param #3303: delta OK; RMS=0.00042378 mm
Param #3339: delta OK; RMS=0.0004237 mm
Param #3346: delta OK; RMS=0.0003891 mm
Param #3352: delta OK; RMS=0.00036007 mm
Param #3361: delta OK; RMS=0.00038161 mm
Param #3417: delta OK; RMS=0.00042783 mm
Param #3426: delta OK; RMS=0.00037716 mm
Param #3432: delta OK; RMS=0.00038031 mm
Param #3439: delta OK; RMS=0.00040097 mm
Param #3475: delta OK; RMS=0.00051167 mm
Param #3482: delta OK; RMS=0.00069174 mm
Param #3488: delta OK; RMS=0.0006514 mm
Param #3497: delta OK; RMS=0.00047534 mm
Param #3558: delta OK; RMS=0.00050501 mm
Param #3567: delta OK; RMS=0.00070858 mm
Param #3573: delta OK; RMS=0.00062941 mm
Param #3580: delta OK; RMS=0.00047348 mm
Param #3619: delta OK; RMS=0.00042424 mm
Param #3626: delta OK; RMS=0.00072577 mm
Param #3632: delta OK; RMS=0.00078787 mm
Param #3641: delta OK; RMS=0.00048645 mm
Param #3697: delta OK; RMS=0.00042541 mm
Param #3706: delta OK; RMS=0.0007481 mm
Param #3712: delta OK; RMS=0.00077972 mm
Param #3719: delta OK; RMS=0.0004683 mm
Param #3755: delta OK; RMS=0.00039268 mm
Param #3762: delta OK; RMS=0.00046644 mm
Param #3768: delta OK; RMS=0.00046928 mm
Param #3777: delta OK; RMS=0.00039 mm
Param #3838: delta OK; RMS=0.00039015 mm
Param #3847: delta OK; RMS=0.00043321 mm
Param #3853: delta OK; RMS=0.00048205 mm
Param #3860: delta OK; RMS=0.00039277 mm
Param #3896: delta OK; RMS=0.00048767 mm
Param #3903: delta OK; RMS=0.0003865 mm
Param #3909: delta OK; RMS=0.00035823 mm
Param #3918: delta OK; RMS=0.00043512 mm
Param #3974: delta OK; RMS=0.00048067 mm
Param #3983: delta OK; RMS=0.00037041 mm
Param #3989: delta OK; RMS=0.00038323 mm
Param #3996: delta OK; RMS=0.00046445 mm
Param #4032: delta OK; RMS=0.00048351 mm
Param #4039: delta OK; RMS=0.00068006 mm
Param #4045: delta OK; RMS=0.00064043 mm
Param #4054: delta OK; RMS=0.00049199 mm
Param #4115: delta OK; RMS=0.00046364 mm
Param #4124: delta OK; RMS=0.00065347 mm
Param #4130: delta OK; RMS=0.00067582 mm
Param #4137: delta OK; RMS=0.00049458 mm
Param #4173: delta OK; RMS=0.00039943 mm
Param #4180: delta OK; RMS=0.00079248 mm
Param #4186: delta OK; RMS=0.00078395 mm
Param #4195: delta OK; RMS=0.00042692 mm
Param #4251: delta OK; RMS=0.00039873 mm
Param #4260: delta OK; RMS=0.00076842 mm
Param #4266: delta OK; RMS=0.0007945 mm
Param #4273: delta OK; RMS=0.00040975 mm
Param #4309: delta OK; RMS=0.00045129 mm
Param #4316: delta OK; RMS=0.00048187 mm
Param #4322: delta OK; RMS=0.0004892 mm
Param #4331: delta OK; RMS=0.00041314 mm
Param #4385: delta OK; RMS=0.00045531 mm
Param #4394: delta OK; RMS=0.00048199 mm
