Param #41: delta OK; RMS=0.00094289 mm
Param #50: delta OK; RMS=0.00032769 mm
Param #104: delta OK; RMS=0.00032386 mm
Param #113: delta OK; RMS=0.00094107 mm
Param #119: delta OK; RMS=0.0009595 mm
Param #126: delta OK; RMS=0.00029578 mm
Param #171: delta OK; RMS=0.00030649 mm
Param #178: delta OK; RMS=0.00094431 mm
Param #184: delta OK; RMS=0.00092938 mm
Param #193: delta OK; RMS=0.0003305 mm
Param #254: delta OK; RMS=0.00033126 mm
Param #263: delta OK; RMS=0.00090489 mm
Param #269: delta OK; RMS=0.00095746 mm
Param #276: delta OK; RMS=0.00030366 mm
Param #312: delta OK; RMS=0.00030406 mm
Param #319: delta OK; RMS=0.00096318 mm
Param #325: delta OK; RMS=0.00094557 mm
Param #334: delta OK; RMS=0.00033645 mm
Param #388: delta OK; RMS=0.00032819 mm
Param #397: delta OK; RMS=0.00094588 mm
Param #403: delta OK; RMS=0.00096075 mm
Param #410: delta OK; RMS=0.00030482 mm
Param #457: delta OK; RMS=0.00029341 mm
Param #464: delta OK; RMS=0.00098303 mm
Param #470: delta OK; RMS=0.00096782 mm
Param #479: delta OK; RMS=0.00032928 mm
Param #540: delta OK; RMS=0.00031986 mm
Param #549: delta OK; RMS=0.00094198 mm
Param #555: delta OK; RMS=0.00099575 mm
Param #562: delta OK; RMS=0.00029591 mm
Param #598: delta OK; RMS=0.0002946 mm
Param #605: delta OK; RMS=0.00097106 mm
Param #611: delta OK; RMS=0.00095756 mm
Param #620: delta OK; RMS=0.00032395 mm
Param #676: delta OK; RMS=0.00032356 mm
Param #685: delta OK; RMS=0.00095098 mm
Param #691: delta OK; RMS=0.00096975 mm
Param #698: delta OK; RMS=0.0002923 mm
Param #734: delta OK; RMS=0.00030307 mm
Param #741: delta OK; RMS=0.00095005 mm
Param #747: delta OK; RMS=0.00093514 mm
Param #756: delta OK; RMS=0.00033004 mm
Param #812: delta OK; RMS=0.00032906 mm
Param #821: delta OK; RMS=0.00093327 mm
Param #827: delta OK; RMS=0.00095084 mm
Param #834: delta OK; RMS=0.00030016 mm
Param #870: delta OK; RMS=0.00030308 mm
Param #877: delta OK; RMS=0.00095578 mm
Param #883: delta OK; RMS=0.00093967 mm
Param #892: delta OK; RMS=0.00033091 mm
Param #946: delta OK; RMS=0.00032944 mm
Param #955: delta OK; RMS=0.00093705 mm
Param #961: delta OK; RMS=0.0009537 mm
Param #968: delta OK; RMS=0.00030153 mm
Param #1004: delta OK; RMS=0.00030075 mm
Param #1011: delta OK; RMS=0.0009684 mm
Param #1017: delta OK; RMS=0.00095161 mm
Param #1026: delta OK; RMS=0.00033271 mm
Param #1080: delta OK; RMS=0.00032651 mm
Param #1089: delta OK; RMS=0.00095156 mm
Param #1095: delta OK; RMS=0.00096752 mm
Param #1102: delta OK; RMS=0.00030113 mm
Param #1138: delta OK; RMS=0.00029787 mm
Param #1145: delta OK; RMS=0.00096954 mm
Param #1151: delta OK; RMS=0.0009541 mm
Param #1160: delta OK; RMS=0.00033143 mm
Param #1214: delta OK; RMS=0.00032446 mm
Param #1223: delta OK; RMS=0.000952 mm
Param #1229: delta OK; RMS=0.00096917 mm
Param #1236: delta OK; RMS=0.00029878 mm
Param #1272: delta OK; RMS=0.00029658 mm
Param #1279: delta OK; RMS=0.00096202 mm
Param #1285: delta OK; RMS=0.00094736 mm
Param #1294: delta OK; RMS=0.00032727 mm
Param #1348: delta OK; RMS=0.00032377 mm
Param #1357: delta OK; RMS=0.00094401 mm
Param #1363: delta OK; RMS=0.00096177 mm
Param #1370: delta OK; RMS=0.00029539 mm
Param #1406: delta OK; RMS=0.00030347 mm
Param #1413: delta OK; RMS=0.00095722 mm
Param #1419: delta OK; RMS=0.00094039 mm
Param #1428: delta OK; RMS=0.00032888 mm
Param #1489: delta OK; RMS=0.00033101 mm
Param #1498: delta OK; RMS=0.00097685 mm
Param #1504: delta OK; RMS=0.00089258 mm
Param #1511: delta OK; RMS=0.00029155 mm
Param #1550: delta OK; RMS=0.00029889 mm
Param #1557: delta OK; RMS=0.00090779 mm
Param #1563: delta OK; RMS=0.00096402 mm
Param #1572: delta OK; RMS=0.00033689 mm
Param #1626: delta OK; RMS=0.00033278 mm
Param #1635: delta OK; RMS=0.00097647 mm
Param #1641: delta OK; RMS=0.00087495 mm
Param #1648: delta OK; RMS=0.00029608 mm
Param #1687: delta OK; RMS=0.00028591 mm
Param #1694: delta OK; RMS=0.00088732 mm
Param #1700: delta OK; RMS=0.00099119 mm
Param #1709: delta OK; RMS=0.00033079 mm
Param #1767: delta OK; RMS=0.00032253 mm
Param #1776: delta OK; RMS=0.00095159 mm
Param #1782: delta OK; RMS=0.00096872 mm
Param #1789: delta OK; RMS=0.00029742 mm
Param #1825: delta OK; RMS=0.00029129 mm
Param #1832: delta OK; RMS=0.0009707 mm
Param #1838: delta OK; RMS=0.00095542 mm
Param #1847: delta OK; RMS=0.00032495 mm
Param #1901: delta OK; RMS=0.00032031 mm
Param #1910: delta OK; RMS=0.0009541 mm
Param #1916: delta OK; RMS=0.00097118 mm
Param #1923: delta OK; RMS=0.00029098 mm
Param #1959: delta OK; RMS=0.0003044 mm
Param #1966: delta OK; RMS=0.00096282 mm
Param #1972: delta OK; RMS=0.0009481 mm
Param #1981: delta OK; RMS=0.00032828 mm
Param #2042: delta OK; RMS=0.00033256 mm
Param #2051: delta OK; RMS=0.00094462 mm
Param #2057: delta OK; RMS=0.00096254 mm
Param #2064: delta OK; RMS=0.00029975 mm
Param #2100: delta OK; RMS=0.00030451 mm
Param #2107: delta OK; RMS=0.00095927 mm
Param #2113: delta OK; RMS=0.00094398 mm
Param #2122: delta OK; RMS=0.00033238 mm
Param #2176: delta OK; RMS=0.00032897 mm
Param #2185: delta OK; RMS=0.00094154 mm
Param #2191: delta OK; RMS=0.00095808 mm
Param #2198: delta OK; RMS=0.00030302 mm
Param #2234: delta OK; RMS=0.00030111 mm
Param #2241: delta OK; RMS=0.00096809 mm
Param #2247: delta OK; RMS=0.0009519 mm
Param #2256: delta OK; RMS=0.0003333 mm
Param #2312: delta OK; RMS=0.00032759 mm
Param #2321: delta OK; RMS=0.00094996 mm
Param #2327: delta OK; RMS=0.00096671 mm
Param #2334: delta OK; RMS=0.00030137 mm
Param #2370: delta OK; RMS=0.00030056 mm
Param #2377: delta OK; RMS=0.00096458 mm
Param #2383: delta OK; RMS=0.00094956 mm
Param #2392: delta OK; RMS=0.00033064 mm
Param #2446: delta OK; RMS=0.0003287 mm
Param #2455: delta OK; RMS=0.00094578 mm
Param #2461: delta OK; RMS=0.00096398 mm
Param #2468: delta OK; RMS=0.00029909 mm
Param #2504: delta OK; RMS=0.00030525 mm
Param #2511: delta OK; RMS=0.000952 mm
Param #2517: delta OK; RMS=0.00093685 mm
Param #2526: delta OK; RMS=0.00033346 mm
Param #2580: delta OK; RMS=0.00033048 mm
Param #2589: delta OK; RMS=0.00093445 mm
Param #2595: delta OK; RMS=0.00095204 mm
Param #2602: delta OK; RMS=0.00030339 mm
Param #2643: delta OK; RMS=0.0003033 mm
Param #2650: delta OK; RMS=0.00095883 mm
Param #2656: delta OK; RMS=0.00094341 mm
Param #2665: delta OK; RMS=0.00033105 mm
Param #2726: delta OK; RMS=0.00032779 mm
Param #2735: delta OK; RMS=0.00091821 mm
Param #2741: delta OK; RMS=0.00097088 mm
Param #2748: delta OK; RMS=0.00030267 mm
Param #2786: delta OK; RMS=0.00030093 mm
Param #2793: delta OK; RMS=0.00096743 mm
Param #2799: delta OK; RMS=0.00095028 mm
Param #2808: delta OK; RMS=0.00033653 mm
Param #2862: delta OK; RMS=0.00032488 mm
Param #2871: delta OK; RMS=0.00095211 mm
Param #2877: delta OK; RMS=0.00096767 mm
Param #2884: delta OK; RMS=0.00030317 mm
Param #2925: delta OK; RMS=0.0002951 mm
Param #2932: delta OK; RMS=0.00097288 mm
Param #2938: delta OK; RMS=0.00095845 mm
Param #2947: delta OK; RMS=0.00032768 mm
Param #3010: delta OK; RMS=0.00032182 mm
Param #3019: delta OK; RMS=0.00093144 mm
Param #3025: delta OK; RMS=0.00098532 mm
Param #3032: delta OK; RMS=0.00029609 mm
Param #3068: delta OK; RMS=0.00029517 mm
Param #3075: delta OK; RMS=0.00096997 mm
Param #3081: delta OK; RMS=0.00095575 mm
Param #3090: delta OK; RMS=0.00032258 mm
Param #3146: delta OK; RMS=0.00032451 mm
Param #3155: delta OK; RMS=0.00095091 mm
Param #3161: delta OK; RMS=0.00096885 mm
Param #3168: delta OK; RMS=0.00029122 mm
Param #3204: delta OK; RMS=0.00030799 mm
Param #3211: delta OK; RMS=0.00095864 mm
Param #3217: delta OK; RMS=0.00094381 mm
Param #3226: delta OK; RMS=0.00033236 mm
Param #3280: delta OK; RMS=0.0003346 mm
Param #3289: delta OK; RMS=0.00094068 mm
Param #3295: delta OK; RMS=0.00095884 mm
Param #3302: delta OK; RMS=0.00030412 mm
Param #3338: delta OK; RMS=0.00030869 mm
Param #3345: delta OK; RMS=0.00095241 mm
Param #3351: delta OK; RMS=0.00093715 mm
Param #3360: delta OK; RMS=0.00033793 mm
Param #3416: delta OK; RMS=0.00033204 mm
Param #3425: delta OK; RMS=0.00093222 mm
Param #3431: delta OK; RMS=0.00094984 mm
Param #3438: delta OK; RMS=0.0003083 mm
Param #3474: delta OK; RMS=0.00029729 mm
Param #3481: delta OK; RMS=0.00096145 mm
Param #3487: delta OK; RMS=0.00094381 mm
Param #3496: delta OK; RMS=0.00033092 mm
Param #3557: delta OK; RMS=0.00032401 mm
Param #3566: delta OK; RMS=0.00098337 mm
Param #3572: delta OK; RMS=0.00088602 mm
Param #3579: delta OK; RMS=0.00029024 mm
Param #3618: delta OK; RMS=0.00028954 mm
Param #3625: delta OK; RMS=0.00091489 mm
Param #3631: delta OK; RMS=0.00098416 mm
Param #3640: delta OK; RMS=0.00032758 mm
Param #3696: delta OK; RMS=0.00032712 mm
Param #3705: delta OK; RMS=0.00095749 mm
Param #3711: delta OK; RMS=0.00097398 mm
Param #3718: delta OK; RMS=0.00029543 mm
Param #3754: delta OK; RMS=0.00029875 mm
Param #3761: delta OK; RMS=0.00097904 mm
Param #3767: delta OK; RMS=0.00096548 mm
Param #3776: delta OK; RMS=0.0003298 mm
Param #3837: delta OK; RMS=0.00032482 mm
Param #3846: delta OK; RMS=0.00093828 mm
Param #3852: delta OK; RMS=0.00099393 mm
Param #3859: delta OK; RMS=0.00029801 mm
Param #3895: delta OK; RMS=0.00030062 mm
Param #3902: delta OK; RMS=0.00095567 mm
Param #3908: delta OK; RMS=0.00094246 mm
Param #3917: delta OK; RMS=0.0003266 mm
Param #3973: delta OK; RMS=0.0003271 mm
Param #3982: delta OK; RMS=0.00093574 mm
Param #3988: delta OK; RMS=0.00095472 mm
Param #3995: delta OK; RMS=0.00029738 mm
Param #4031: delta OK; RMS=0.00030459 mm
Param #4038: delta OK; RMS=0.00094571 mm
Param #4044: delta OK; RMS=0.00092956 mm
Param #4053: delta OK; RMS=0.00033462 mm
Param #4114: delta OK; RMS=0.00032663 mm
Param #4123: delta OK; RMS=0.0009089 mm
Param #4129: delta OK; RMS=0.00096046 mm
Param #4136: delta OK; RMS=0.0003046 mm
Param #4172: delta OK; RMS=0.00030191 mm
Param #4179: delta OK; RMS=0.00097217 mm
Param #4185: delta OK; RMS=0.00095573 mm
Param #4194: delta OK; RMS=0.00032994 mm
Param #4250: delta OK; RMS=0.00033096 mm
Param #4259: delta OK; RMS=0.00095019 mm
Param #4265: delta OK; RMS=0.00096683 mm
Param #4272: delta OK; RMS=0.00029968 mm
Param #4308: delta OK; RMS=0.00029779 mm
Param #4315: delta OK; RMS=0.00097728 mm
Param #4321: delta OK; RMS=0.00096232 mm
Param #4330: delta OK; RMS=0.00033051 mm
Param #4384: delta OK; RMS=0.00032449 mm
Param #4393: delta OK; RMS=0.00095881 mm
