Param #1561: delta OK; RMS=0.00020958 mm
Param #1570: delta OK; RMS=0.00013454 mm
Param #1595: delta too small; RMS=2.6767e-05 mm
Param #1595: delta OK; RMS=0.0010001 mm
Param #1630: delta OK; RMS=0.00013348 mm
Param #1639: delta OK; RMS=0.00020923 mm
Param #1646: delta OK; RMS=0.00016703 mm
Param #1661: delta too small; RMS=8.1886e-05 mm
Param #1661: delta OK; RMS=0.00099995 mm
Param #1676: delta too small; RMS=8.1598e-05 mm
Param #1676: delta OK; RMS=0.0010001 mm
Param #1691: delta OK; RMS=0.00016693 mm
Param #1698: delta OK; RMS=0.00020906 mm
Param #1707: delta OK; RMS=0.00013407 mm
Param #1732: delta too small; RMS=2.6565e-05 mm
Param #1732: delta OK; RMS=0.001 mm
Param #1769: delta OK; RMS=0.00013344 mm
Param #1778: delta OK; RMS=0.00020904 mm
Param #1785: delta OK; RMS=0.00016475 mm
Param #1800: delta too small; RMS=8.7496e-05 mm
Param #1800: delta OK; RMS=0.0010001 mm
Param #1812: delta too small; RMS=8.7936e-05 mm
Param #1812: delta OK; RMS=0.0010001 mm
Param #1827: delta OK; RMS=0.00016426 mm
Param #1834: delta OK; RMS=0.00020858 mm
Param #1843: delta OK; RMS=0.00013398 mm
Param #1868: delta too small; RMS=2.6959e-05 mm
Param #1868: delta OK; RMS=0.00099991 mm
Param #1905: delta OK; RMS=0.00013253 mm
Param #1914: delta OK; RMS=0.00020814 mm
Param #1921: delta OK; RMS=0.00016418 mm
Param #1936: delta too small; RMS=8.7265e-05 mm
Param #1936: delta OK; RMS=0.0010001 mm
Param #1948: delta too small; RMS=8.7789e-05 mm
Param #1948: delta OK; RMS=0.00099991 mm
Param #1963: delta OK; RMS=0.00016448 mm
Param #1970: delta OK; RMS=0.00020851 mm
Param #1979: delta OK; RMS=0.00013372 mm
Param #2004: delta too small; RMS=2.681e-05 mm
Param #2004: delta OK; RMS=0.0010001 mm
Param #2046: delta OK; RMS=0.00013291 mm
Param #2055: delta OK; RMS=0.00020844 mm
Param #2062: delta OK; RMS=0.00016416 mm
Param #2077: delta too small; RMS=8.7728e-05 mm
Param #2077: delta OK; RMS=0.0010001 mm
Param #2089: delta too small; RMS=8.746e-05 mm
Param #2089: delta OK; RMS=0.001 mm
Param #2104: delta OK; RMS=0.00016503 mm
Param #2111: delta OK; RMS=0.00020933 mm
Param #2120: delta OK; RMS=0.00013429 mm
Param #2145: delta too small; RMS=2.6759e-05 mm
Param #2145: delta OK; RMS=0.0010001 mm
Param #2180: delta OK; RMS=0.00013311 mm
Param #2189: delta OK; RMS=0.00020871 mm
Param #2196: delta OK; RMS=0.00016425 mm
Param #2211: delta too small; RMS=8.7803e-05 mm
Param #2211: delta OK; RMS=0.00099992 mm
Param #2223: delta too small; RMS=8.7875e-05 mm
Param #2223: delta OK; RMS=0.0010001 mm
Param #2238: delta OK; RMS=0.00016571 mm
Param #2245: delta OK; RMS=0.00021026 mm
Param #2254: delta OK; RMS=0.00013459 mm
Param #2279: delta too small; RMS=2.6431e-05 mm
Param #2279: delta OK; RMS=0.001 mm
Param #2316: delta OK; RMS=0.00013417 mm
Param #2325: delta OK; RMS=0.00021021 mm
Param #2332: delta OK; RMS=0.00016559 mm
Param #2347: delta too small; RMS=8.7847e-05 mm
Param #2347: delta OK; RMS=0.0010001 mm
Param #2359: delta too small; RMS=8.7774e-05 mm
Param #2359: delta OK; RMS=0.0010001 mm
Param #2374: delta OK; RMS=0.00016416 mm
Param #2381: delta OK; RMS=0.00020867 mm
Param #2390: delta OK; RMS=0.00013421 mm
Param #2415: delta too small; RMS=2.7021e-05 mm
Param #2415: delta OK; RMS=0.00099995 mm
Param #2450: delta OK; RMS=0.00013242 mm
Param #2459: delta OK; RMS=0.00020824 mm
Param #2466: delta OK; RMS=0.00016443 mm
Param #2481: delta too small; RMS=8.7354e-05 mm
Param #2481: delta OK; RMS=0.0010002 mm
Param #2493: delta too small; RMS=8.7627e-05 mm
Param #2493: delta OK; RMS=0.00099989 mm
Param #2508: delta OK; RMS=0.00016379 mm
Param #2515: delta OK; RMS=0.00020769 mm
Param #2524: delta OK; RMS=0.00013327 mm
Param #2549: delta too small; RMS=2.6909e-05 mm
Param #2549: delta OK; RMS=0.00099994 mm
Param #2584: delta OK; RMS=0.00013226 mm
Param #2593: delta OK; RMS=0.0002074 mm
Param #2600: delta OK; RMS=0.00016341 mm
Param #2615: delta too small; RMS=8.7424e-05 mm
Param #2615: delta OK; RMS=0.001 mm
Param #2632: delta too small; RMS=8.7641e-05 mm
Param #2632: delta OK; RMS=0.00099996 mm
Param #2647: delta OK; RMS=0.00016531 mm
Param #2654: delta OK; RMS=0.00020941 mm
Param #2663: delta OK; RMS=0.00013411 mm
Param #2688: delta too small; RMS=2.6689e-05 mm
Param #2688: delta OK; RMS=0.0010002 mm
Param #2730: delta OK; RMS=0.00013308 mm
Param #2739: delta OK; RMS=0.00020882 mm
Param #2746: delta OK; RMS=0.00016462 mm
Param #2761: delta too small; RMS=8.7946e-05 mm
Param #2761: delta OK; RMS=0.00099991 mm
Param #2773: delta too small; RMS=8.7705e-05 mm
Param #2773: delta OK; RMS=0.0010002 mm
Param #2788: delta OK; RMS=0.00016532 mm
Param #2795: delta OK; RMS=0.00020994 mm
Param #2804: delta OK; RMS=0.00013482 mm
Param #2829: delta too small; RMS=2.6835e-05 mm
Param #2829: delta OK; RMS=0.001 mm
Param #2864: delta OK; RMS=0.00013334 mm
Param #2873: delta OK; RMS=0.00020953 mm
Param #2880: delta OK; RMS=0.00016522 mm
Param #2895: delta too small; RMS=8.7824e-05 mm
Param #2895: delta OK; RMS=0.001 mm
Param #2912: delta too small; RMS=8.7727e-05 mm
Param #2912: delta OK; RMS=0.001 mm
Param #2929: delta OK; RMS=0.00016416 mm
Param #2936: delta OK; RMS=0.00020852 mm
Param #2945: delta OK; RMS=0.00013399 mm
Param #2970: delta too small; RMS=2.6997e-05 mm
Param #2970: delta OK; RMS=0.001 mm
Param #3012: delta OK; RMS=0.00013205 mm
Param #3021: delta OK; RMS=0.00020771 mm
Param #3028: delta OK; RMS=0.0001642 mm
Param #3043: delta too small; RMS=8.7153e-05 mm
Param #3043: delta OK; RMS=0.0010002 mm
Param #3055: delta too small; RMS=8.7891e-05 mm
Param #3055: delta OK; RMS=0.001 mm
Param #3070: delta OK; RMS=0.00016426 mm
Param #3077: delta OK; RMS=0.00020816 mm
Param #3086: delta OK; RMS=0.00013317 mm
Param #3111: delta too small; RMS=2.6491e-05 mm
Param #3111: delta OK; RMS=0.00099992 mm
Param #3148: delta OK; RMS=0.00013313 mm
Param #3157: delta OK; RMS=0.00020821 mm
Param #3164: delta OK; RMS=0.00016392 mm
Param #3179: delta too small; RMS=8.7572e-05 mm
Param #3179: delta OK; RMS=0.001 mm
Param #3191: delta too small; RMS=8.7522e-05 mm
Param #3191: delta OK; RMS=0.00099988 mm
Param #3206: delta OK; RMS=0.00016509 mm
Param #3213: delta OK; RMS=0.00020929 mm
Param #3222: delta OK; RMS=0.00013422 mm
Param #3247: delta too small; RMS=2.6751e-05 mm
Param #3247: delta OK; RMS=0.0010001 mm
Param #3284: delta OK; RMS=0.00013322 mm
Param #3293: delta OK; RMS=0.000209 mm
Param #3300: delta OK; RMS=0.0001646 mm
Param #3315: delta too small; RMS=8.7964e-05 mm
Param #3315: delta OK; RMS=0.001 mm
Param #3327: delta too small; RMS=8.7552e-05 mm
Param #3327: delta OK; RMS=0.0010001 mm
Param #3342: delta OK; RMS=0.00016498 mm
Param #3349: delta OK; RMS=0.00020933 mm
Param #3358: delta OK; RMS=0.00013406 mm
Param #3383: delta too small; RMS=2.6509e-05 mm
Param #3383: delta OK; RMS=0.001 mm
Param #3420: delta OK; RMS=0.00013356 mm
Param #3429: delta OK; RMS=0.00020914 mm
Param #3436: delta OK; RMS=0.00016475 mm
Param #3451: delta too small; RMS=8.7529e-05 mm
Param #3451: delta OK; RMS=0.00099994 mm
Param #3463: delta too small; RMS=8.7964e-05 mm
Param #3463: delta OK; RMS=0.00099997 mm
Param #3478: delta OK; RMS=0.00016465 mm
Param #3485: delta OK; RMS=0.000209 mm
Param #3494: delta OK; RMS=0.00013421 mm
Param #3519: delta too small; RMS=2.6981e-05 mm
Param #3519: delta OK; RMS=0.00099999 mm
Param #3561: delta OK; RMS=0.00013298 mm
Param #3570: delta OK; RMS=0.00020875 mm
Param #3577: delta OK; RMS=0.0001664 mm
Param #3592: delta too small; RMS=8.2461e-05 mm
Param #3592: delta OK; RMS=0.0010001 mm
Param #3607: delta too small; RMS=8.2658e-05 mm
Param #3607: delta OK; RMS=0.001 mm
Param #3622: delta OK; RMS=0.0001665 mm
Param #3629: delta OK; RMS=0.00020881 mm
Param #3638: delta OK; RMS=0.00013381 mm
Param #3663: delta too small; RMS=2.6451e-05 mm
Param #3663: delta OK; RMS=0.001 mm
Param #3700: delta OK; RMS=0.0001332 mm
Param #3709: delta OK; RMS=0.00020857 mm
Param #3716: delta OK; RMS=0.00016433 mm
Param #3731: delta too small; RMS=8.794e-05 mm
Param #3731: delta OK; RMS=0.00099997 mm
Param #3743: delta too small; RMS=8.738e-05 mm
Param #3743: delta OK; RMS=0.00099996 mm
Param #3758: delta OK; RMS=0.00016461 mm
Param #3765: delta OK; RMS=0.00020883 mm
Param #3774: delta OK; RMS=0.00013397 mm
Param #3799: delta too small; RMS=2.6855e-05 mm
Param #3799: delta OK; RMS=0.0010001 mm
Param #3841: delta OK; RMS=0.0001325 mm
Param #3850: delta OK; RMS=0.00020811 mm
Param #3857: delta OK; RMS=0.00016425 mm
Param #3872: delta too small; RMS=8.7583e-05 mm
Param #3872: delta OK; RMS=0.001 mm
Param #3884: delta too small; RMS=8.7922e-05 mm
Param #3884: delta OK; RMS=0.0010001 mm
Param #3899: delta OK; RMS=0.0001649 mm
Param #3906: delta OK; RMS=0.00020908 mm
Param #3915: delta OK; RMS=0.00013377 mm
Param #3940: delta too small; RMS=2.6523e-05 mm
Param #3940: delta OK; RMS=0.00099999 mm
Param #3977: delta OK; RMS=0.00013359 mm
Param #3986: delta OK; RMS=0.00020904 mm
Param #3993: delta OK; RMS=0.0001646 mm
Param #4008: delta too small; RMS=8.729e-05 mm
Param #4008: delta OK; RMS=0.001 mm
Param #4020: delta too small; RMS=8.8056e-05 mm
Param #4020: delta OK; RMS=0.00099995 mm
Param #4035: delta OK; RMS=0.00016476 mm
Param #4042: delta OK; RMS=0.00020916 mm
Param #4051: delta OK; RMS=0.00013425 mm
Param #4076: delta too small; RMS=2.6825e-05 mm
Param #4076: delta OK; RMS=0.00099997 mm
Param #4118: delta OK; RMS=0.00013251 mm
Param #4127: delta OK; RMS=0.00020839 mm
Param #4134: delta OK; RMS=0.00016465 mm
Param #4149: delta too small; RMS=8.7644e-05 mm
Param #4149: delta OK; RMS=0.001 mm
Param #4161: delta too small; RMS=8.7421e-05 mm
Param #4161: delta OK; RMS=0.0010001 mm
Param #4176: delta OK; RMS=0.00016426 mm
Param #4183: delta OK; RMS=0.00020839 mm
Param #4192: delta OK; RMS=0.00013349 mm
Param #4217: delta too small; RMS=2.6501e-05 mm
Param #4217: delta OK; RMS=0.0010001 mm
Param #4254: delta OK; RMS=0.00013289 mm
Param #4263: delta OK; RMS=0.00020809 mm
Param #4270: delta OK; RMS=0.00016399 mm
Param #4285: delta too small; RMS=8.7864e-05 mm
Param #4285: delta OK; RMS=0.00099997 mm
Param #4297: delta too small; RMS=8.7365e-05 mm
Param #4297: delta OK; RMS=0.001 mm
Param #4312: delta OK; RMS=0.00016466 mm
Param #4319: delta OK; RMS=0.00020868 mm
Param #4328: delta OK; RMS=0.00013376 mm
Param #4353: delta too small; RMS=2.6845e-05 mm
Param #4353: delta OK; RMS=0.00099999 mm
Param #4388: delta OK; RMS=0.00013314 mm
Param #4397: delta OK; RMS=0.00020868 mm
Param #4406: delta OK; RMS=0.00016247 mm
Param #4430: delta OK; RMS=0.00010542 mm
