Param #2378: delta OK; RMS=0.00075898 mm
Param #2384: delta OK; RMS=0.00072973 mm
Param #2393: delta OK; RMS=0.00039835 mm
Param #2447: delta OK; RMS=0.00041417 mm
Param #2456: delta OK; RMS=0.00074755 mm
Param #2462: delta OK; RMS=0.00075081 mm
Param #2469: delta OK; RMS=0.00039807 mm
Param #2505: delta OK; RMS=0.0004264 mm
Param #2512: delta OK; RMS=0.00086369 mm
Param #2518: delta OK; RMS=0.00084764 mm
Param #2527: delta OK; RMS=0.00042739 mm
Param #2581: delta OK; RMS=0.00043397 mm
Param #2590: delta OK; RMS=0.00084439 mm
Param #2596: delta OK; RMS=0.0008644 mm
Param #2603: delta OK; RMS=0.0004234 mm
Param #2644: delta OK; RMS=0.00041499 mm
Param #2651: delta OK; RMS=0.00071207 mm
Param #2657: delta OK; RMS=0.00070907 mm
Param #2666: delta OK; RMS=0.00042952 mm
Param #2727: delta OK; RMS=0.00040696 mm
Param #2736: delta OK; RMS=0.00067416 mm
Param #2742: delta OK; RMS=0.00072994 mm
Param #2749: delta OK; RMS=0.00042514 mm
Param #2785: delta OK; RMS=0.00039481 mm
Param #2792: delta OK; RMS=0.00060047 mm
Param #2798: delta OK; RMS=0.00058499 mm
Param #2807: delta OK; RMS=0.00039602 mm
Param #2861: delta OK; RMS=0.00039204 mm
Param #2870: delta OK; RMS=0.00058566 mm
Param #2876: delta OK; RMS=0.00059998 mm
Param #2883: delta OK; RMS=0.00039622 mm
Param #2926: delta OK; RMS=0.00041577 mm
Param #2933: delta OK; RMS=0.00074655 mm
Param #2939: delta OK; RMS=0.00071683 mm
Param #2948: delta OK; RMS=0.00040146 mm
Param #3009: delta OK; RMS=0.0004224 mm
Param #3018: delta OK; RMS=0.00071843 mm
Param #3024: delta OK; RMS=0.00074884 mm
Param #3031: delta OK; RMS=0.00040551 mm
Param #3067: delta OK; RMS=0.00043163 mm
Param #3074: delta OK; RMS=0.00086694 mm
Param #3080: delta OK; RMS=0.00085007 mm
Param #3089: delta OK; RMS=0.00043578 mm
Param #3145: delta OK; RMS=0.00043453 mm
Param #3154: delta OK; RMS=0.00084528 mm
Param #3160: delta OK; RMS=0.00086466 mm
Param #3167: delta OK; RMS=0.00043003 mm
Param #3203: delta OK; RMS=0.00040332 mm
Param #3210: delta OK; RMS=0.00072382 mm
Param #3216: delta OK; RMS=0.00072148 mm
Param #3225: delta OK; RMS=0.00042217 mm
Param #3281: delta OK; RMS=0.00039912 mm
Param #3290: delta OK; RMS=0.00070158 mm
Param #3296: delta OK; RMS=0.00073184 mm
Param #3303: delta OK; RMS=0.0004138 mm
Param #3339: delta OK; RMS=0.0003988 mm
Param #3346: delta OK; RMS=0.00060043 mm
Param #3352: delta OK; RMS=0.00058495 mm
Param #3361: delta OK; RMS=0.00039242 mm
Param #3417: delta OK; RMS=0.00039738 mm
Param #3426: delta OK; RMS=0.0005832 mm
Param #3432: delta OK; RMS=0.00059756 mm
Param #3439: delta OK; RMS=0.00039425 mm
Param #3475: delta OK; RMS=0.00042525 mm
Param #3482: delta OK; RMS=0.00073461 mm
Param #3488: delta OK; RMS=0.00070417 mm
Param #3497: delta OK; RMS=0.00040978 mm
Param #3558: delta OK; RMS=0.00042932 mm
Param #3567: delta OK; RMS=0.00075336 mm
Param #3573: delta OK; RMS=0.00067165 mm
Param #3580: delta OK; RMS=0.00039627 mm
Param #3619: delta OK; RMS=0.000405 mm
Param #3626: delta OK; RMS=0.00081493 mm
Param #3632: delta OK; RMS=0.00087243 mm
Param #3641: delta OK; RMS=0.00043504 mm
Param #3697: delta OK; RMS=0.00042637 mm
Param #3706: delta OK; RMS=0.00084852 mm
Param #3712: delta OK; RMS=0.00086688 mm
Param #3719: delta OK; RMS=0.00042451 mm
Param #3755: delta OK; RMS=0.00039831 mm
Param #3762: delta OK; RMS=0.00073911 mm
Param #3768: delta OK; RMS=0.0007369 mm
Param #3777: delta OK; RMS=0.00041398 mm
Param #3838: delta OK; RMS=0.00039621 mm
Param #3847: delta OK; RMS=0.00070078 mm
Param #3853: delta OK; RMS=0.00075789 mm
Param #3860: delta OK; RMS=0.00040659 mm
Param #3896: delta OK; RMS=0.00041018 mm
Param #3903: delta OK; RMS=0.00059692 mm
Param #3909: delta OK; RMS=0.0005841 mm
Param #3918: delta OK; RMS=0.00039978 mm
Param #3974: delta OK; RMS=0.00040709 mm
Param #3983: delta OK; RMS=0.00057932 mm
Param #3989: delta OK; RMS=0.00059713 mm
Param #3996: delta OK; RMS=0.00040376 mm
Param #4032: delta OK; RMS=0.00042401 mm
Param #4039: delta OK; RMS=0.00071849 mm
Param #4045: delta OK; RMS=0.00068848 mm
Param #4054: delta OK; RMS=0.000417 mm
Param #4115: delta OK; RMS=0.00042361 mm
Param #4124: delta OK; RMS=0.00069077 mm
Param #4130: delta OK; RMS=0.00072003 mm
Param #4137: delta OK; RMS=0.00042023 mm
Param #4173: delta OK; RMS=0.00041316 mm
Param #4180: delta OK; RMS=0.00087191 mm
Param #4186: delta OK; RMS=0.00085262 mm
Param #4195: delta OK; RMS=0.00042359 mm
Param #4251: delta OK; RMS=0.00041895 mm
Param #4260: delta OK; RMS=0.00085187 mm
Param #4266: delta OK; RMS=0.00086818 mm
Param #4273: delta OK; RMS=0.00041322 mm
Param #4309: delta OK; RMS=0.00040579 mm
Param #4316: delta OK; RMS=0.00075531 mm
Param #4322: delta OK; RMS=0.00075211 mm
Param #4331: delta OK; RMS=0.00041436 mm
Param #4385: delta OK; RMS=0.0004079 mm
Param #4394: delta OK; RMS=0.00073276 mm
