Param #2378: delta OK; RMS=0.0008971 mm
Param #2384: delta OK; RMS=0.00087791 mm
Param #2393: delta OK; RMS=0.00041649 mm
Param #2447: delta OK; RMS=0.00040802 mm
Param #2456: delta OK; RMS=0.00088048 mm
Param #2462: delta OK; RMS=0.00089453 mm
Param #2469: delta OK; RMS=0.00040125 mm
Param #2505: delta OK; RMS=0.00040307 mm
Param #2512: delta OK; RMS=0.00086358 mm
Param #2518: delta OK; RMS=0.00085389 mm
Param #2527: delta OK; RMS=0.00041245 mm
Param #2581: delta OK; RMS=0.00041091 mm
Param #2590: delta OK; RMS=0.00084298 mm
Param #2596: delta OK; RMS=0.0008687 mm
Param #2603: delta OK; RMS=0.00040471 mm
Param #2644: delta OK; RMS=0.00041313 mm
Param #2651: delta OK; RMS=0.00074263 mm
Param #2657: delta OK; RMS=0.00073029 mm
Param #2666: delta OK; RMS=0.00042136 mm
Param #2727: delta OK; RMS=0.000419 mm
Param #2736: delta OK; RMS=0.00070895 mm
Param #2742: delta OK; RMS=0.0007574 mm
Param #2749: delta OK; RMS=0.00040817 mm
Param #2785: delta OK; RMS=0.00040513 mm
Param #2792: delta OK; RMS=0.00078977 mm
Param #2798: delta OK; RMS=0.00076633 mm
Param #2807: delta OK; RMS=0.00039979 mm
Param #2861: delta OK; RMS=0.00040607 mm
Param #2870: delta OK; RMS=0.00077515 mm
Param #2876: delta OK; RMS=0.00078534 mm
Param #2883: delta OK; RMS=0.00039814 mm
Param #2926: delta OK; RMS=0.00041666 mm
Param #2933: delta OK; RMS=0.00089321 mm
Param #2939: delta OK; RMS=0.00086943 mm
Param #2948: delta OK; RMS=0.0004155 mm
Param #3009: delta OK; RMS=0.00043162 mm
Param #3018: delta OK; RMS=0.00085573 mm
Param #3024: delta OK; RMS=0.00090067 mm
Param #3031: delta OK; RMS=0.00040462 mm
Param #3067: delta OK; RMS=0.00042918 mm
Param #3074: delta OK; RMS=0.00086402 mm
Param #3080: delta OK; RMS=0.00085499 mm
Param #3089: delta OK; RMS=0.00043725 mm
Param #3145: delta OK; RMS=0.00043249 mm
Param #3154: delta OK; RMS=0.00084032 mm
Param #3160: delta OK; RMS=0.00086699 mm
Param #3167: delta OK; RMS=0.00042702 mm
Param #3203: delta OK; RMS=0.00039372 mm
Param #3210: delta OK; RMS=0.00075968 mm
Param #3216: delta OK; RMS=0.00074605 mm
Param #3225: delta OK; RMS=0.00041915 mm
Param #3281: delta OK; RMS=0.00039413 mm
Param #3290: delta OK; RMS=0.00074205 mm
Param #3296: delta OK; RMS=0.00076035 mm
Param #3303: delta OK; RMS=0.00040696 mm
Param #3339: delta OK; RMS=0.00038701 mm
Param #3346: delta OK; RMS=0.00080025 mm
Param #3352: delta OK; RMS=0.00077884 mm
Param #3361: delta OK; RMS=0.00040287 mm
Param #3417: delta OK; RMS=0.00040829 mm
Param #3426: delta OK; RMS=0.00078398 mm
Param #3432: delta OK; RMS=0.00079463 mm
Param #3439: delta OK; RMS=0.0003922 mm
Param #3475: delta OK; RMS=0.00041682 mm
Param #3482: delta OK; RMS=0.00090492 mm
Param #3488: delta OK; RMS=0.00088279 mm
Param #3497: delta OK; RMS=0.00042318 mm
Param #3558: delta OK; RMS=0.00043184 mm
Param #3567: delta OK; RMS=0.00092663 mm
Param #3573: delta OK; RMS=0.00083734 mm
Param #3580: delta OK; RMS=0.0003903 mm
Param #3619: delta OK; RMS=0.00039302 mm
Param #3626: delta OK; RMS=0.00079795 mm
Param #3632: delta OK; RMS=0.0008628 mm
Param #3641: delta OK; RMS=0.00041717 mm
Param #3697: delta OK; RMS=0.00041199 mm
Param #3706: delta OK; RMS=0.00082919 mm
Param #3712: delta OK; RMS=0.00085309 mm
Param #3719: delta OK; RMS=0.00040773 mm
Param #3755: delta OK; RMS=0.00039624 mm
Param #3762: delta OK; RMS=0.00075263 mm
Param #3768: delta OK; RMS=0.00074097 mm
Param #3777: delta OK; RMS=0.0004253 mm
Param #3838: delta OK; RMS=0.00041819 mm
Param #3847: delta OK; RMS=0.00071851 mm
Param #3853: delta OK; RMS=0.00076869 mm
Param #3860: delta OK; RMS=0.00040097 mm
Param #3896: delta OK; RMS=0.00041808 mm
Param #3903: delta OK; RMS=0.00079536 mm
Param #3909: delta OK; RMS=0.00077268 mm
Param #3918: delta OK; RMS=0.00039855 mm
Param #3974: delta OK; RMS=0.00040808 mm
Param #3983: delta OK; RMS=0.00078361 mm
Param #3989: delta OK; RMS=0.00079304 mm
Param #3996: delta OK; RMS=0.0003977 mm
Param #4032: delta OK; RMS=0.00041448 mm
Param #4039: delta OK; RMS=0.00090308 mm
Param #4045: delta OK; RMS=0.00088306 mm
Param #4054: delta OK; RMS=0.0004219 mm
Param #4115: delta OK; RMS=0.0004231 mm
Param #4124: delta OK; RMS=0.00086303 mm
Param #4130: delta OK; RMS=0.00091263 mm
Param #4137: delta OK; RMS=0.00042192 mm
Param #4173: delta OK; RMS=0.00040942 mm
Param #4180: delta OK; RMS=0.00084408 mm
Param #4186: delta OK; RMS=0.00083314 mm
Param #4195: delta OK; RMS=0.0004311 mm
Param #4251: delta OK; RMS=0.00040934 mm
Param #4260: delta OK; RMS=0.00082316 mm
Param #4266: delta OK; RMS=0.000845 mm
Param #4273: delta OK; RMS=0.0004164 mm
Param #4309: delta OK; RMS=0.00039035 mm
Param #4316: delta OK; RMS=0.00078435 mm
Param #4322: delta OK; RMS=0.00077075 mm
Param #4331: delta OK; RMS=0.00040361 mm
Param #4385: delta OK; RMS=0.00039898 mm
Param #4394: delta OK; RMS=0.00076824 mm
