#  TANGO SettingsManager file
#
#  Author: OpticsCouplingCorrection
#  Date:   Thu Jan 15 19:28:04 CET 2026
#
#
srmag/m-dq1/c04-b/Currents:  80.45850187809535,1.4240534718106517
srmag/m-dq2/c04-c/Currents:  89.19699041471898,-2.154951114761161E-4
srmag/m-dq1/c04-d/Currents:  81.5987184859791,-0.519419613358977
srmag/m-dq1/c05-b/Currents:  80.98065047193084,-0.24968836984072595
srmag/m-dq2/c05-c/Currents:  89.16599822782727,2.060711088347489E-5
srmag/m-dq1/c05-d/Currents:  80.53534186594706,0.8551192512034476
srmag/m-dq1/c06-b/Currents:  81.78701844869929,-0.32536119215224346
srmag/m-dq2/c06-c/Currents:  89.29100603791832,1.6465619452787905E-5
srmag/m-dq1/c06-d/Currents:  81.0481351041974,0.6928919797814359
srmag/m-dq1/c07-b/Currents:  80.93956642131397,-0.39669003333568753
srmag/m-dq2/c07-c/Currents:  89.40399821439149,1.8305859441625216E-5
srmag/m-dq1/c07-d/Currents:  80.86061071351969,0.33418203407242686
srmag/m-dq1/c08-b/Currents:  81.15698681086621,0.4428665743897682
srmag/m-dq2/c08-c/Currents:  89.36799822393345,1.5137279049781682E-5
srmag/m-dq1/c08-d/Currents:  81.95400593730676,-0.8702225914845485
srmag/m-dq1/c09-b/Currents:  81.09113138200121,0.05337138395802299
srmag/m-dq2/c09-c/Currents:  89.58190446093758,1.6945564553338954E-5
srmag/m-dq1/c09-d/Currents:  81.0425754782758,0.07357124443501561
srmag/m-dq1/c10-b/Currents:  81.54807311158636,0.16003440682776215
srmag/m-dq2/c10-c/Currents:  89.28688963915837,1.552368935620052E-5
srmag/m-dq1/c10-d/Currents:  81.70846340986601,-0.35569319099705865
srmag/m-dq1/c11-b/Currents:  80.57886764383795,1.007448242281498
srmag/m-dq2/c11-c/Currents:  89.35199822423161,-6.382417761585657E-5
srmag/m-dq1/c11-d/Currents:  81.68218426887003,-0.5920127927662264
srmag/m-dq1/c12-b/Currents:  81.29134295516054,0.01535278442726451
srmag/m-dq2/c12-c/Currents:  89.55499039897637,-5.777062790457421E-5
srmag/m-dq1/c12-d/Currents:  81.37969483525767,-0.16169978094009707
srmag/m-dq1/c13-b/Currents:  81.25732623242547,-0.20982729644094888
srmag/m-dq2/c13-c/Currents:  89.34799822430912,9.636181762573415E-5
srmag/m-dq1/c13-d/Currents:  80.95694279366631,-0.07126798130664724
srmag/m-dq1/c14-b/Currents:  81.30410930954172,0.089908071145274
srmag/m-dq2/c14-c/Currents:  89.20800603952482,2.4869564575169534E-4
srmag/m-dq1/c14-d/Currents:  81.79369175445387,-0.259850913491519
srmag/m-dq1/c15-b/Currents:  81.4298388250826,0.49212119579597413
srmag/m-dq2/c15-c/Currents:  89.4508966509778,1.7147443745102464E-4
srmag/m-dq1/c15-d/Currents:  81.06267480612829,-0.277913416214858
srmag/m-dq1/c16-b/Currents:  81.49764568505111,-0.021148414512623503
srmag/m-dq2/c16-c/Currents:  89.604043089193,1.4879070984363807E-4
srmag/m-dq1/c16-d/Currents:  81.96311910723126,-0.18666784588188534
srmag/m-dq1/c17-b/Currents:  80.88711667367892,0.7155203031280024
srmag/m-dq2/c17-c/Currents:  89.30699041260968,9.219120956061033E-5
srmag/m-dq1/c17-d/Currents:  82.03814142453432,-0.5314976654669294
srmag/m-dq1/c18-b/Currents:  81.77438682111084,-0.4219155412080511
srmag/m-dq2/c18-c/Currents:  89.21999822679365,1.7089886037524593E-4
srmag/m-dq1/c18-d/Currents:  81.85427269981047,0.186064506461193
srmag/m-dq1/c19-b/Currents:  81.87915428866233,0.19952400914711177
srmag/m-dq2/c19-c/Currents:  89.47600602548653,1.765256563572848E-4
srmag/m-dq1/c19-d/Currents:  81.93633889672884,-0.6593334030979889
srmag/m-dq1/c20-b/Currents:  80.99456223546426,0.4813574527509843
srmag/m-dq2/c20-c/Currents:  89.37999041120051,-1.3438954808009385E-4
srmag/m-dq1/c20-d/Currents:  81.42026344329766,-0.2670973344391143
srmag/m-dq1/c21-b/Currents:  81.93424879117048,-0.26957876306002504
srmag/m-dq2/c21-c/Currents:  89.32199822481937,1.9088131281819187E-5
srmag/m-dq1/c21-d/Currents:  81.58103761553517,-0.08605719568961945
srmag/m-dq1/c22-b/Currents:  81.05036099204715,0.6833701429602996
srmag/m-dq2/c22-c/Currents:  89.66590525517674,1.5801805375303957E-5
srmag/m-dq1/c22-d/Currents:  81.89108267243385,-0.38263160812671515
srmag/m-dq1/c23-b/Currents:  81.52597079025404,0.06171162303785138
srmag/m-dq2/c23-c/Currents:  89.69399039629117,1.747748430602769E-5
srmag/m-dq1/c23-d/Currents:  82.11040465901277,-0.008834650713694714
srmag/m-dq1/c24-b/Currents:  81.3440608953459,0.35874335477431885
srmag/m-dq2/c24-c/Currents:  89.1859982274371,-5.829448522831626E-5
srmag/m-dq1/c24-d/Currents:  82.12300963880874,-0.3563500343963142
srmag/m-dq1/c25-b/Currents:  81.3314205676822,0.49753231156560673
srmag/m-dq2/c25-c/Currents:  89.49199040018638,1.9952626672647966E-5
srmag/m-dq1/c25-d/Currents:  81.4051166756236,0.445825049107512
srmag/m-dq1/c26-b/Currents:  81.58063897199935,0.46581180599517324
srmag/m-dq2/c26-c/Currents:  89.41900602659692,-5.918240506730399E-5
srmag/m-dq1/c26-d/Currents:  81.5313852885366,-0.33375394235982014
srmag/m-dq1/c27-b/Currents:  81.39179707124688,0.21575460032512694
srmag/m-dq2/c27-c/Currents:  88.84200604657185,2.0316738712722326E-5
